1,200,baseline,516
1,400,baseline,1045
1,600,baseline,1670
1,800,baseline,1908
1,1000,baseline,2184
10,200,baseline,1675
10,400,baseline,3492
10,600,baseline,4494
10,800,baseline,5691
10,1000,baseline,6805
50,200,baseline,6185
50,400,baseline,11216
50,600,baseline,16883
50,800,baseline,20513
50,1000,baseline,24329
100,200,baseline,11205
100,400,baseline,19324
100,600,baseline,28396
100,800,baseline,36110
100,1000,baseline,43515
1,200,custPrefixed,588
1,400,custPrefixed,1160
1,600,custPrefixed,1566
1,800,custPrefixed,2096
1,1000,custPrefixed,2777
10,200,custPrefixed,1922
10,400,custPrefixed,3617
10,600,custPrefixed,5128
10,800,custPrefixed,6657
10,1000,custPrefixed,8058
50,200,custPrefixed,7209
50,400,custPrefixed,12897
50,600,custPrefixed,19440
50,800,custPrefixed,24169
50,1000,custPrefixed,30108
100,200,custPrefixed,12821
100,400,custPrefixed,23419
100,600,custPrefixed,34197
100,800,custPrefixed,43249
100,1000,custPrefixed,57668
1,200,seqPrefixed,583
1,400,seqPrefixed,1108
1,600,seqPrefixed,1400
1,800,seqPrefixed,1786
1,1000,seqPrefixed,2209
10,200,seqPrefixed,1768
10,400,seqPrefixed,3237
10,600,seqPrefixed,4469
10,800,seqPrefixed,5894
10,1000,seqPrefixed,6778
50,200,seqPrefixed,5869
50,400,seqPrefixed,10945
50,600,seqPrefixed,16104
50,800,seqPrefixed,20749
50,1000,seqPrefixed,25062
100,200,seqPrefixed,10196
100,400,seqPrefixed,19111
100,600,seqPrefixed,28472
100,800,seqPrefixed,37909
100,1000,seqPrefixed,47628
